City,Market Score,Annual Revenue,Occupancy Rate,Average Daily Rate,Seasonality,Rank
Boissy Sous Saint Yon,62,21500,43.0,266.0,19,196
Linas,76,5300,48.0,103.7,55,197
Franconville,76,4100,44.0,110.1,67,198
Ozoir La Ferriere,68,8700,46.0,149.7,61,199
Garges Les Gonesse,80,6200,39.0,119.1,58,200
Les Breviaires,89,6100,30.0,191.3,39,201
Fontenay Sous Bois,68,7100,48.0,172.0,56,202
Dammartin Sur Tigeaux,85,12200,41.0,128.1,15,203
Noisy Le Sec,69,4800,46.0,130.3,74,204
Les Clayes Sous Bois,74,3500,38.0,146.3,79,205
Sartrouville,70,5100,44.0,127.2,74,206
Villecerf,33,33100,32.0,663.2,2,207
Gagny,73,6300,45.0,133.8,56,208
Ferrieres En Brie,75,9100,51.0,149.3,22,209
Montry,65,10100,48.0,127.6,60,210
Les Molieres,31,31700,69.0,256.7,4,211
Le Pecq,63,5000,44.0,171.4,82,212
Brie Comte Robert,63,5500,44.0,118.0,91,213
Vert Le Grand,75,11100,46.0,93.7,36,214
Limours,84,9900,41.0,129.0,18,215
Chanteloup En Brie,64,12200,53.0,164.1,31,216
Chatou,59,8200,44.0,263.4,59,217
Lagny Sur Marne,64,8200,44.0,143.7,69,218
Gonesse,63,7900,47.0,119.4,69,219
Groslay,72,9700,42.0,143.4,41,220
Le Plessis Luzarches,71,12300,54.0,145.0,3,221
Neuville Sur Oise,69,6100,50.0,90.0,52,222
Livry Gargan,66,5100,38.0,136.6,84,223
Jouy En Josas,58,7600,42.0,195.0,76,224
Le Chatelet En Brie,20,42600,50.0,371.1,9,225
Aulnay Sous Bois,65,7200,43.0,145.5,64,226
Thoury Ferottes,72,10600,53.0,169.6,1,227
Poissy,73,5700,45.0,122.4,45,228
Joinville Le Pont,63,6900,48.0,182.5,50,229
Sevres,53,7800,52.0,258.6,49,230
Savigny Sur Orge,66,4600,45.0,101.8,71,231
Le Plessis Robinson,64,7600,49.0,151.2,46,232
Etampes,67,3900,44.0,71.8,79,233
Chatenay Malabry,64,4800,46.0,153.8,61,234
Emerainville,77,7100,49.0,164.1,5,235
Coulommiers,70,5600,38.0,118.0,67,236
Ury,64,17300,45.0,217.7,5,237
Stains,64,4800,34.0,161.1,87,238
Moussy Le Vieux,63,7600,53.0,99.8,45,239
Villeneuve Saint Denis,69,9900,51.0,151.0,13,240
Noisiel,68,5100,47.0,130.2,46,241
Vauhallan,58,6600,42.0,461.6,11,242
La Roche Guyon,51,18000,36.0,212.9,59,243
Mezieres Sur Seine,65,7400,35.0,113.2,78,244
Le Pin,62,10200,49.0,84.2,48,245
La Queue En Brie,68,6900,44.0,326.5,3,246
Le Perreux Sur Marne,58,6100,42.0,179.8,70,247
Saint Mammes,56,9400,52.0,110.7,53,248
Chennevieres Sur Marne,55,13000,45.0,188.1,43,249
Villiers Sous Grez,45,19800,44.0,211.4,46,250
Clamart,54,7600,48.0,186.5,55,251
Saulx Les Chartreux,63,5800,46.0,127.3,52,252
Savigny Le Temple,84,5400,35.0,95.3,26,253
Saint Michel Sur Orge,78,8500,43.0,128.4,5,254
Fayence,38,12200,78.0,120.5,23,255
Saint Arnoult En Yvelines,67,19800,38.0,162.0,3,256
La Chapelle Moutils,39,22900,51.0,306.9,10,257
Saint Martin La Garenne,43,26700,37.0,229.9,36,258
Gennevilliers,54,5400,46.0,153.4,71,259
Le Vaudoue,47,14600,52.0,148.4,45,260
Les Essarts Le Roi,51,5400,44.0,150.3,84,261
Episy,59,13400,46.0,180.6,21,262
Avon,65,6400,45.0,93.8,47,263
Lesigny,61,11600,44.0,226.9,15,264
Saclay,51,7000,60.0,141.6,37,265
Chevrainvilliers,30,26500,39.0,410.9,27,266
Pierrefitte Sur Seine,55,5200,41.0,121.9,83,267
Chatillon La Borde,0,36400,78.0,265.4,12,268
Garches,44,10700,49.0,296.8,38,269
Arpajon,53,6300,46.0,91.7,77,270
Asnieres Sur Oise,61,7600,48.0,113.2,39,271
Morangis,68,6500,41.0,120.9,38,272
Villemoisson Sur Orge,67,7500,47.0,183.9,9,273
Carrieres Sur Seine,51,6400,45.0,168.8,68,274
Carrieres Sous Poissy,66,4100,37.0,101.5,66,275
Samois Sur Seine,58,10200,49.0,121.2,33,276
Chauconin Neufmontiers,68,5600,43.0,182.4,21,277
Saint Remy Les Chevreuse,49,7500,42.0,175.9,74,278
Velizy Villacoublay,59,6700,46.0,167.4,39,279
Chaumes En Brie,68,10400,45.0,148.4,6,280
Dourdan,71,9200,45.0,121.4,7,281
Leuville Sur Orge,57,7900,46.0,95.5,55,282
Fleury En Biere,59,10900,40.0,259.5,19,283
Misy Sur Yonne,60,14400,41.0,136.7,27,284
Vernon,56,4500,49.0,171.9,44,285
Montfort L Amaury,65,10300,39.0,243.0,7,286
Les Loges En Josas,14,9600,73.0,568.5,5,287
Chaville,50,6700,49.0,191.4,49,288
L Isle Adam,51,10000,40.0,225.1,48,289
Moissy Cramayel,61,7400,43.0,86.1,49,290
Noisy Le Grand,56,6400,45.0,140.2,50,291
Moigny Sur Ecole,58,11900,41.0,158.7,30,292
Les Mureaux,61,3900,39.0,100.8,66,293
Favieres,58,9400,50.0,127.9,22,294
Bures Sur Yvette,62,6700,43.0,170.7,28,295
Villepreux,39,4900,53.0,178.7,75,296
Auvers Sur Oise,53,10200,46.0,160.3,36,297
Mareil Marly,39,14700,42.0,289.9,44,298
Bouffemont,25,37000,35.0,390.3,3,299
Thieux,73,7500,39.0,103.9,13,300
Fontenay Le Fleury,67,3700,43.0,172.5,19,301
Bondy,55,4700,42.0,95.8,69,302
Itteville,73,7500,36.0,115.3,17,303
Montgeron,51,7300,40.0,144.0,66,304
Thiais,61,4200,40.0,112.0,53,305
Isles Les Villenoy,58,8200,48.0,108.1,28,306
La Celle Saint Cloud,35,8400,48.0,358.6,42,307
Champs Sur Marne,51,8100,46.0,144.4,46,308
Pommeuse,48,7500,43.0,120.9,69,309
Claye Souilly,56,6700,46.0,152.7,34,310
Croissy Beaubourg,60,9600,44.0,208.0,5,311
Collegien,41,11800,47.0,246.1,37,312
La Houssaye En Brie,37,22100,38.0,266.3,31,313
Le Raincy,58,5400,40.0,158.7,44,314
Ennery,32,10200,58.0,390.2,9,315
Bailly,11,26600,49.0,492.3,14,316
Plaisir,50,5600,47.0,177.7,43,317
Bransles,43,16000,30.0,228.7,58,318
Villeneuve Le Roi,61,4700,38.0,115.4,45,319
Sceaux,48,7200,46.0,186.5,39,320
Poigny La Foret,39,18900,41.0,310.0,11,321
Mouroux,73,4700,32.0,115.0,24,322
Baillet En France,57,2800,59.0,140.0,4,323
Nemours,56,7100,45.0,128.1,29,324
Le Thillay,54,10400,42.0,146.8,27,325
Nozay,54,6000,47.0,119.5,35,327
Sonchamp,51,6600,47.0,128.1,39,328
Goussainville,53,4700,34.0,132.3,71,329
Brunoy,48,6300,38.0,139.0,66,330
Le Chesnay,39,8500,45.0,264.2,40,331
Clairefontaine En Yvelines,57,14400,31.0,210.3,13,332
Villeparisis,54,5800,40.0,124.9,47,333
Mareuil Les Meaux,58,9500,40.0,205.4,4,334
Courcouronnes,57,4600,47.0,108.3,26,335
La Genevraye,38,13900,52.0,192.6,19,336
Mery Sur Oise,37,6900,45.0,188.5,63,337
Sainte Genevieve Des Bois,48,4400,42.0,102.1,65,338
Ocquerre,32,18700,48.0,246.4,16,339
Le Bourget,47,6600,42.0,138.7,51,340
Villiers Le Bel,43,6400,43.0,114.0,65,341
Tremblay En France,48,6600,39.0,140.2,54,342
La Boissiere Ecole,35,17300,42.0,335.0,5,343
Milly La Foret,41,11100,51.0,151.0,25,344
Perigny,43,3300,52.0,79.4,58,345
Cormeilles En Parisis,46,6700,45.0,158.1,38,346
Fosses,48,6100,39.0,121.2,57,347
Breuillet,17,6300,38.0,599.6,49,348
Bezons,46,5600,44.0,138.9,47,349
Meulan En Yvelines,58,7700,44.0,139.6,3,350
Chevreuse,40,9500,39.0,164.4,57,351
Marnes La Coquette,30,10000,47.0,341.5,26,352
Maule,45,5900,47.0,159.6,34,353
Oncy Sur Ecole,50,10700,47.0,153.7,3,354
Orly,51,5100,39.0,102.9,50,355
Chevilly Larue,37,4800,46.0,128.9,69,356
Montigny Le Bretonneux,37,5900,46.0,202.6,48,357
Lisses,38,7200,64.0,108.9,15,358
Champigny Sur Marne,47,5300,43.0,136.7,42,359
Vigneux Sur Seine,43,4600,37.0,123.3,74,360
Villetaneuse,43,5600,37.0,143.4,65,361
Persan,66,4600,31.0,99.0,24,362
Ormoy La Riviere,57,11600,37.0,119.5,6,363
Saint Pierre Du Perray,53,7800,41.0,146.9,14,364
Gravon,12,27900,42.0,341.5,19,365
Le Coudray Montceaux,15,21100,56.0,327.8,1,366
Chanteloup Les Vignes,44,5800,45.0,111.3,42,367
Yerres,36,6000,43.0,148.2,62,368
Annet Sur Marne,32,10500,46.0,170.8,45,369
Epinay Sur Seine,44,5300,41.0,166.2,41,370
Saint Mard,27,14000,56.0,251.7,5,371
Villejust,41,9000,47.0,94.1,37,372
Garancieres,44,9300,42.0,270.6,2,373
Chaintreaux,24,27200,31.0,317.2,16,374
Herblay,50,4600,38.0,152.6,35,375
Roissy En France,32,7500,43.0,125.3,71,376
Marolles En Hurepoix,51,9000,40.0,172.6,5,377
Soisy Sous Montmorency,41,6400,44.0,188.2,30,378
Galluis,31,12200,48.0,255.2,15,379
Bullion,43,8400,38.0,181.1,33,380
Maisons Laffitte,39,5900,45.0,188.8,34,381
Triel Sur Seine,52,6300,32.0,151.0,35,382
Guyancourt,38,5000,45.0,181.4,41,383
Brou Sur Chantereine,35,6700,45.0,128.7,55,384
Videlles,50,19100,25.0,183.5,6,385
Moisson,31,16900,38.0,212.3,30,386
Dormelles,31,14800,42.0,264.0,16,387
Saint Leu La Foret,36,9900,42.0,220.9,27,388
Saint Prix,22,18900,43.0,344.6,8,389
Viroflay,39,6200,48.0,179.1,23,390
Morsang Sur Seine,0,31300,40.0,494.6,4,391
Conches Sur Gondoire,29,12200,39.0,207.5,47,392
Ormesson Sur Marne,36,6800,46.0,156.1,38,393
Jouarre,25,10900,41.0,156.4,68,394
Roissy En Brie,34,4800,45.0,113.1,61,395
Andresy,32,7000,43.0,168.9,52,396
Arnouville Les Mantes,18,17400,51.0,334.0,2,397
Villiers Sur Morin,26,10700,42.0,164.8,60,398
Luzarches,50,8000,36.0,196.7,7,399
Longpont Sur Orge,41,4200,44.0,111.9,44,400
Villecresnes,30,5400,47.0,123.3,62,401
Crespieres,24,14800,48.0,322.6,2,402
Gouvernes,21,15900,55.0,247.3,3,403
Argenteuil,37,5500,40.0,148.3,50,404
Chelles,34,6300,42.0,141.0,52,405
Neauphle Le Chateau,29,11700,42.0,347.6,4,406
Le Mesnil Le Roi,35,7800,48.0,245.3,5,407
Ecouen,45,6500,38.0,239.0,6,408
Mezy Sur Seine,34,13400,28.0,217.7,44,409
Fontenay Saint Pere,35,13600,40.0,146.9,25,410
Champagne Sur Seine,45,5600,43.0,93.8,26,411
Couilly Pont Aux Dames,33,9200,50.0,140.4,21,412
Vernou La Celle Sur Seine,28,18000,41.0,222.7,10,413
Saint Cyr L Ecole,28,6400,43.0,182.2,53,414
Rochefort En Yvelines,28,17900,35.0,306.9,3,415
L Etang La Ville,27,6400,43.0,236.5,40,416
Hericy,35,7300,45.0,158.3,24,417
Marles En Brie,6,23000,37.0,478.4,7,418
Saint Clair Sur Epte,65,4700,22.0,110.6,12,419
Saint Cheron,50,5800,38.0,105.8,13,420
Thomery,35,5900,48.0,128.8,26,421
Le Mesnil Saint Denis,37,7000,45.0,210.5,6,422
Feucherolles,6,15400,48.0,482.9,3,423
Deuil La Barre,30,6000,44.0,169.4,41,424
Saint Sauveur Sur Ecole,21,17100,42.0,235.2,20,425
Draveil,29,5200,43.0,130.6,57,426
Gournay Sur Marne,26,9800,47.0,213.4,22,427
Croissy Sur Seine,32,5700,44.0,268.3,14,428
Tournan En Brie,7,21900,51.0,308.8,5,429
Elancourt,30,4900,43.0,235.6,31,430
Maurecourt,45,6600,36.0,113.7,24,431
Lieusaint,29,6600,37.0,146.2,61,432
Arnouville,35,5900,42.0,137.2,35,433
Mauperthuis,42,6000,33.0,124.0,37,434
Saint Nom La Breteche,1,10600,40.0,680.2,6,435
Soisy Sur Seine,46,7600,27.0,260.8,4,436
Montigny Les Cormeilles,35,5300,49.0,172.3,4,437
Verrieres Le Buisson,28,9600,43.0,268.3,3,438
Ermont,32,5700,43.0,152.6,29,439
Touquin,44,8700,30.0,218.3,2,440
Bois D Arcy,25,4600,47.0,200.4,33,441
Marly Le Roi,22,8100,49.0,232.3,17,442
La Ferte Sous Jouarre,34,6100,34.0,148.5,44,443
Villeneuve La Garenne,25,5900,41.0,189.0,44,444
Taverny,35,5100,40.0,194.4,18,445
Thorigny Sur Marne,30,8700,42.0,184.4,17,446
La Grande Paroisse,42,8200,36.0,172.1,1,447
Recloses,18,18200,40.0,218.6,17,448
Buthiers,23,15500,35.0,265.4,13,449
Fontenay Tresigny,11,15300,50.0,204.0,24,450
Beauchery Saint Martin,0,16700,51.0,118.3,67,451
Montigny Sur Loing,34,10300,41.0,133.1,11,452
Montcourt Fromonville,18,13400,45.0,222.0,18,453
Vaucresson,14,9300,44.0,389.0,11,454
La Rochette,32,7600,43.0,100.0,27,455
Ferolles Attilly,32,8400,43.0,200.3,3,456
Montmagny,34,5700,36.0,186.6,25,457
La Ferte Gaucher,31,9100,41.0,110.0,25,458
Saint Germain Les Corbeil,45,5800,34.0,146.3,5,459
Saint Maur Des Fosses,19,6200,43.0,204.0,45,460
Lardy,30,6000,52.0,139.6,3,461
Bouleurs,23,14100,44.0,142.1,15,462
Jouars Pontchartrain,12,9700,45.0,393.6,7,463
Champagne Sur Oise,35,7400,38.0,123.4,21,464
Pontcarre,27,4300,44.0,85.2,48,465
Bry Sur Marne,22,6700,44.0,229.3,23,466
La Ferte Alais,43,7000,36.0,109.3,5,467
Dammartin En Goele,38,6300,35.0,140.2,18,468
Ballancourt Sur Essonne,22,10000,44.0,116.5,34,469
La Frette Sur Seine,30,5800,46.0,150.8,12,470
Le Port Marly,37,6600,34.0,178.0,13,471
Vemars,20,8300,52.0,135.3,20,472
